region,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4690534,4151078,4386290,4584996,4965613,4138229,2920244,2503981,2445877,2675448,2943809,2869509,2877322,2633646,2603262,2538163,2560228,2309300,2162163,2181945,2302760,2771433,2893167,2977763,3559470,4195068,4917140,6058091,5958200,5936536,5959979,6146251
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,500000,1734921,3879984,4488214,4712735,4417651,4653193,5094283,5511740,5622982,5643989,6339095,6306301,4552153,3374575,2731166,2679132,2674234,2676675,2667118,2601690,3587327,3809763,2510294,2136039,2414460,2166139,2107510,3057655,2833116,2887114,3054699,2664423,2586132,2556483,2596259,2666294,2501447,2624265,2681267,2727556,2594827,2712858
Africa Western and Central,AFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1056416,1018249,1039785,1741076,1762691,1486476,1434430,1037381,968077,942682,825227,595030,647815,678624,618362,557930,479340,438512,465615,483889,507349,600135,641877,724624,919751,1038377,1090726,1155918,1283440,1354330,1457853,1675914
Angola,AGO,150000,150000,170000,175000,200000,220000,303800,356200,381360,408190,414120,419690,421500,426550,497390,501830,499190,529830,646110,652980,449030,457060,465890,298110,357821,317392,355412,391733,407566,408692,407760,381638,300494,323822,282570,246653,249686,267687,319420,353472,433756,470616,435415,329573,228842,215811,206482,186137,171374,141006,134851,128657,19253,10274,9468,11855,8388,8292,8243,8176,8196,11403
Albania,ALB,,,,,100,4860,4860,4260,4120,4290,4310,390,2300,2090,380,380,,2000,1980,1610,1681,1680,1645,1610,1576,1587,90,129,358,367,1822,3542,4355,4747,5021,5804,5784,5381,5353,6286,6801,7627,10758,10382,10474,12718,14079,15335,15007,15707,14771,13552,12569,10104,10156,10404,11060,12168,13512,15027,15523,19847
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,,10,10,10,5,5,5,5,6,5,5,5,,,,,,
Arab World,ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2212489,2408680,2614889,1906568,2001744,2005023,2035525,1864272,1806064,1816901,1672624,1872875,1895880,1831003,1879604,1797671,3023518,3722655,3328079,3029121,3034184,3205236,3358916,4804187,6199852,7077036,7703238,8568734,8933132,8827545,8876924,9053222
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,17,18,29,16,69,31,260,305,255,411,418,484,580,84,84,91,103,137,169,155,181,160
Argentina,ARG,,,,,,,,,,,,,,,,,,,,,38,38,1019,42,42,51,52,47,46,103,332,196,111,97,467,330,218,157,140,585,608,660,764,777,789,850,888,1164,1039,604,553,506,435,381,311,186,120,121,112,99,99,124
Armenia,ARM,,,,,170,,,,200,200,200,4070,3500,,,,,440,420,700,333,333,733,333,333,333,528,208,300,,,,195000,200116,201837,201439,203232,203690,193147,193228,5787,7206,13244,13158,13409,13965,14913,15435,16333,18004,17553,16491,15937,11995,11839,11211,10707,10786,11040,10962,10334,12255
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,13,13,18,24,25,27,28,32,45,50,53,56,82,99,107,117,108,105
Australia,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,12,11,41,29,57,37,23,38,38,47,27,27,21,15,10,10,20,20,16
Austria,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,49,53,54,63,47,33,27,72,68,44,62,30,19,15,15,10,10,15,5,5,,,10,24,18,18,23
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000,328005,299092,200519,236086,234949,329655,311131,284278,268755,260217,253248,250584,233678,126068,15922,16321,16945,16756,16168,15541,10808,10508,9707,10118,10893,11246,11626,101468,39478
Burundi,BDI,,,,,,3000,250,,,,,,129000,131895,120880,141940,152320,153550,148180,151680,169770,182950,176270,176550,182910,199810,210620,186910,190153,191441,191619,223942,184129,871376,389698,350575,428680,519116,502555,527437,568070,553987,574552,531626,485753,438695,396533,375720,281583,94221,84053,101282,73354,72636,72477,292750,408066,439320,387850,380900,372951,323635
Belgium,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,9,14,15,20,11,21,40,41,95,63,53,58,66,80,88,91,76,76,66,44,52,50,34,28,29
Benin,BEN,,,,,,,,,,,,,,,,,100,,200,200,,,,,,,50,50,50,60,,,,62,72,50,42,41,45,44,47,52,228,274,299,402,207,265,315,409,438,460,451,294,330,400,479,572,659,721,606,730
Burkina Faso,BFA,,,,,,,,,,,,,,,,,,,,,,,,,50,90,110,50,,,,6,61,61,69,60,64,112,100,101,124,90,970,852,575,602,373,557,719,983,1141,1262,1458,1578,1853,2147,2352,2694,11447,11733,15694,20209
Bangladesh,BGD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,477,613,53921,57154,56196,56958,57962,44375,4659,4470,5404,5544,5804,5563,5733,7303,7796,10235,10097,10428,10046,10047,10159,9720,10868,12154,13842,16780,21022,22766,18948,22672
Bulgaria,BGR,,,,,,,,,,90,320,340,340,340,300,300,,,290,,329,274,257,227,183,190,160,138,898,869,1922,2733,2980,3157,4692,4157,3246,3049,3121,2652,2404,2122,2843,2565,2227,4250,3431,3306,3036,2743,2558,2322,2143,1875,1644,1264,799,716,620,566,510,455
Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,52,53,59,74,70,64,82,94,124,92,46,49,50,52,40,56,65,72,72,81,213,294,274,344,422,461,497,540,557,534,416
"Bahamas, The",BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,14,11,12,17,184,195,208,216,216,298,378,421,501,534,736
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437501,618428,776090,769753,993868,849240,640077,598193,504980,447326,406456,300012,228813,109931,199948,78267,74358,70006,62996,58572,51815,26787,21883,18763,18194,17690,16956,16556,15578,18189
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,84,499,300,292,1505,2515,3691,6366,7817,8226,8849,9368,4961,5376,5518,5735,5916,6181,4387,4296,4117,3831,3650,3526,3425,3139,4632
Belize,BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,5,,,11,12,,,9,6,5,13,13,18,16,21,29,35,37,42,48,58,64,68,73,68,81
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,,,,,,,,,,,1400,2930,1730,,1650,90,60,,,,170,100,270,,,,,,,26,729,67,28,40,177,180,177,163,187,176,177,157,215,260,280,263,371,423,455,570,589,615,616,594,594,566,530,520,502,514,535,549
Brazil,BRA,,,,,,,,,,,,2000,2000,,,,,,,,5,5,5,5,5,5,5,,,6,15,11,11,9,41,52,84,103,134,194,220,251,438,377,401,370,703,1623,1401,973,991,1040,1073,982,977,893,803,851,1038,1399,1548,1954
Barbados,BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,5,6,6,8,10,8,28,39,33,28,29,42,50,63,82,95,144,172,211,243,230,265
Brunei Darussalam,BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,47,,,,,,,,,,,,,,,,
Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9504,75442,85334,103270,104746,106820,108702,105690,107619,108943,110844,112524,103977,105259,106539,108069,110593,104960,89064,75062,57980,41582,31556,23633,17709,11757,7954,7100,6839,6741,6702
Botswana,BWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,22,27,22,16,16,10,5,,5,5,5,,10,16,29,32,56,88,125,165,234,306,265,279,289,228,191,122
Central African Republic,CAF,,,,,,,,,,,,,,,,,,,,,,,15000,,,,230,160,170,310,100,320,325,309,264,241,240,139,168,190,135,28698,25368,35394,31056,42875,71669,98092,125090,159542,164902,162861,164567,252854,412028,471093,490879,545513,590858,610152,642161,737658
Canada,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,10,12,16,19,25,5,52,61,57,120,94,530,100,97,86,108,121,94,89,73,76,75,81,71,65,60
Central Europe and the Baltics,CEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90731,60783,218581,230372,163568,304323,349485,379282,362706,373470,351725,306024,320672,273451,248047,167193,128664,118480,112031,90122,78005,73955,72761,58733,48642,41463,34913,33979,33864,33686,33806,28143
Switzerland,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,27,32,54,76,90,69,60,55,34,11,14,38,33,32,19,20,20,16,11,16,16,5,5,5,5,5,
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,,,,,,,,,,,,,,,13550,15350,2670,3000,3130,3130,1505,1885,2483,1794,1552,2181,2434,1906,608,1201,14547,14006,14042,15265,15475,14274,12801,9775,7005,1539,858,834,1705,1549,1183,929,798,964,988,1305,1163,1182,1145,588,571,554,495,493,479,486,659,987
China,CHN,,,,,1200000,1330000,1326810,74000,70000,65000,66000,70000,75000,,,,,,,,24,24,104,24,24,124,154,24,265,413,1426,2011,82576,111507,113908,104691,105806,106731,109396,111950,110967,117403,132099,132390,134708,124086,140584,149087,175169,180546,184601,190369,193449,195121,210793,212911,207768,207716,212039,212863,175361,170200
Cote d'Ivoire,CIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,37,41,102,203,272,355,531,561,771,856,23731,33625,23649,18333,26304,22222,22218,23148,41747,154818,100709,85650,71956,71107,46811,40009,38316,39351,37525,39940
Cameroon,CMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,100,,84,170,236,2018,2111,2250,1349,1651,2067,2729,5228,6215,7631,9096,10373,11499,13852,14752,14952,15149,13360,11410,10739,10565,10344,11032,45118,66241,78481,125475
"Congo, Dem. Rep.",COD,,,,,58700,47000,74800,78190,67330,54530,51650,43470,43920,43380,39820,39410,44070,264940,151560,70450,116750,118970,92455,101571,94512,86418,96619,69428,103537,100786,67423,65816,81269,74817,73279,89742,158794,173994,158828,255942,371705,392142,421355,453465,462186,430919,401908,370372,367991,455852,476691,491470,509275,499551,516765,541487,537474,620805,720302,802974,840392,908401
"Congo, Rep.",COG,,,,,,,,930,330,,,,,,,110,,,,,6,6,6,6,6,6,6,,,,,5,7,7,33,172,214,21143,17141,27297,27570,24237,27994,28950,28140,24428,20599,19726,19922,20546,20682,12836,12113,11744,14498,14772,13291,13295,13354,12743,12590,14253
Colombia,COL,,,,,,,,,,,,,,,,,,,,,,50,100,,,60,50,50,35,65,493,738,841,1040,1361,1902,2168,2376,3536,4412,9278,17937,30624,37992,47380,60447,72793,551741,373532,389753,395579,395950,394112,396711,360291,340116,311059,191635,138583,189254,189866,115793
Comoros,COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,5,10,10,5,27,27,25,25,40,62,52,64,73,93,376,268,365,420,449,509,580,550,572,600,624,658,748,1670
Cabo Verde,CPV,,,,,,,300,300,430,400,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,7,5,,34,28,27,22,22,22,22,22,27,27,10,5,10,10,5,10
Costa Rica,CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,222,209,136,86,50,73,55,86,97,91,136,176,283,361,354,344,352,332,325,463,414,374,202,195,207,206,208,235
Caribbean small states,CSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6625,5926,2545,899,1031,920,871,765,628,609,530,473,516,677,990,1594,2280,3026,3299,3540,3857,4560,5138,5641,6199,6332,5657,6010,6356,6080,5692,5275
Cuba,CUB,,,,,,,,,,14500,16700,54500,17070,,1600,,,,,3560,1695,2705,655,925,1356,1876,686,836,3874,7680,13520,17614,21273,22409,23320,24857,25462,24911,23559,23322,20077,18950,18035,16084,15671,19003,33580,7496,7928,7537,7460,7845,7722,7453,7497,6827,5940,5331,5488,6625,8912,11534
Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,35,35,35,35,35,35,35,35
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,5,5
Cyprus,CYP,,,,,,,,,,,,,,,,,,700,,,,,,,,,,,11,11,11,,,,6,9,9,7,10,17,12,5,5,5,,5,5,10,10,10,10,10,10,10,10,,,,7,,,5
Czechia,CZE,,,,,,,,,,,70,70,70,60,50,50,,,,,393,389,494,421,456,981,411,385,5649,5790,6123,4491,3327,5017,4650,2040,977,695,1929,1243,809,1177,6985,6699,4528,3589,2136,1379,1354,1060,811,758,620,984,1321,1280,1266,1272,1236,1166,1112,758
Germany,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,8,449,384,421,443,689,1297,1182,1028,924,719,74,75,114,126,162,167,159,169,174,164,170,153,67,66,61,69,71,59
Djibouti,DJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,10,36,18065,18092,18096,8143,3222,1879,1911,451,470,520,492,498,479,645,638,613,556,595,626,747,870,1059,1437,1761,2124,2351,2419,2607
Dominica,DMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,17,24,30,49,58,56,51,51,49,52,41,35,35,20,26,36,50,55,54
Denmark,DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,18,34,33,28,25,26,5,6,10,10,10,10,15,10,10,6,6,6,6,11,11,,,,5,5,8
Dominican Republic,DOM,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,30,30,29,50,42,45,48,45,82,89,93,62,141,352,313,222,238,239,280,298,348,382,359,427,472,546,550,635
Algeria,DZA,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,,,5,5,18,55,69,84,20744,1522,2245,3409,5717,7140,8015,8399,12088,11651,10650,12024,8338,10599,9044,8168,6665,6093,5657,3643,3509,3470,3705,4021,4181,4514,4571,6003
East Asia & Pacific (excluding high income),EAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694674,712093,976752,1013117,930482,932852,891029,870773,839444,926517,849400,792352,784760,707822,711077,727756,804900,724560,740925,976585,987126,988857,989975,1031144,1044256,1017832,1066146,1736104,1728633,1642823,1632669,1703708
Early-demographic dividend,EAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2159783,1269442,1706024,1643657,3439183,2825104,1584063,1117508,1022948,978981,970228,1166946,1481756,1324969,1306280,1360426,1398937,1317736,1300535,1265184,1259110,1246104,1957047,3653180,5372014,6515085,7008878,8517766,8911634,8922334,9194273,9515242
East Asia & Pacific,EAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694674,712098,976757,1013122,930771,933101,891189,870890,839567,926635,849515,792465,785080,708146,711437,728168,806559,726465,742375,977427,988000,989679,990851,1031920,1045117,1018443,1066540,1736490,1729050,1643140,1632967,1704048
Europe & Central Asia (excluding high income),ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128733,214129,1313855,1550938,1715089,1594481,2081681,1925258,1687167,1509242,1154078,1096678,1513451,1365930,1220953,1030491,1038551,680043,704068,650636,631963,597997,581352,282389,500027,563441,472601,373244,335571,318640,381267,354350
Europe & Central Asia,ECS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217569,272190,1529461,1778161,1875021,1895739,2429519,2303061,2048220,1882064,1505244,1402064,1833354,1638637,1467808,1195080,1167073,796107,813898,738786,708202,670469,652844,340100,547913,604489,507228,407075,369424,352345,415106,382622
Ecuador,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,27,38,48,174,203,216,215,507,492,669,649,815,720,718,772,878,1329,1063,1029,859,912,848,711,807,1006,1041,1251,1424,1644,1689,1825
"Egypt, Arab Rep.",EGY,,,,,,,,,,,,,,,,,,,50,,,5,5,6,6,7,8,8,14,13,50,98,210,257,501,870,1198,1720,2606,3486,3954,4677,6442,5734,5361,6288,7608,6789,6777,6983,6903,7922,10014,12804,15899,17929,19792,22106,24850,27416,26553,27498
Euro area,EMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,16,79,28552,16222,14457,8790,8692,6766,7029,6224,3571,8755,8584,7169,6928,8518,2389,2471,2475,2240,2385,2537,1800,1750,1647,1756,1892,2230,2324,2321,2348
Eritrea,ERI,,,,,,,,,,,,,,,,,,,,400,542,1542,1585,1385,1385,1385,177,167,133,43,43,500633,503200,427208,422432,286711,332222,319076,346779,347134,376847,333222,318167,124111,131108,144062,193738,208747,186392,209164,222457,251941,285356,308210,363081,407428,457247,486209,507260,504300,524738,511911
Spain,ESP,,,,,,,,,,,680,670,650,390,210,140,510,,,,5,5,50,600,60,60,,60,,,,,,,42,36,217,214,57,49,75,45,58,51,53,49,2442,37,26,34,41,42,55,56,60,60,34,39,46,51,52,55
Estonia,EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,95,296,350,1309,1265,792,634,460,483,1058,1021,849,738,622,258,248,249,242,225,455,349,340,315,303,288,281,274,277,271
Ethiopia,ETH,,,,,,,,28600,31000,31000,54350,55200,44640,46300,49200,91410,105700,655350,887670,1623870,2567998,1363266,1334915,1351917,1546134,1749309,1534548,1487663,1513307,1474919,1345928,251243,313131,251828,226429,100986,96264,84386,70663,71040,66396,58980,61235,62674,63153,65447,74007,59845,63863,62877,68838,70601,74964,77109,86857,85839,83958,87448,92232,93467,151426,149125
European Union,EUU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90758,60794,218586,230380,164517,305326,350996,380732,364015,375295,353399,307351,322508,275075,248917,168659,131728,119129,112647,90719,78620,74614,73458,59415,49352,42148,35328,34432,34374,34187,34277,28618
Fragile and conflict affected situations,FCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11530466,11127309,10026663,8635217,6598728,5853644,5952110,5847044,5716262,5986102,6975111,7337791,6134459,5495919,5800003,5410593,6596052,8198726,7480478,7430135,7654401,7485933,7826193,9438936,11894598,13460725,14763393,17525546,17941970,17931544,18107496,18873785
Finland,FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,,8,6,,5,10,5,,6,6,6,5,5,5,10,5,5,5,,,5
Fiji,FJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,89,156,222,305,326,301,328,401,731,1071,1088,1280,1376,1681,1824,1862,1888,1849,1576,1314,1109,927,887,791,734,675,591,516,414
France,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,14,46,60,62,60,74,41,92,110,112,286,79,99,97,80,90,92,94,92,84,90,50,54,59,50,49,38
Faroe Islands,FRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,22,27,22,17,27,27,27,24,34,37,50,78,96,116,132,145,167,180,189,180,179,174,167,216,342,440,454,620
United Kingdom,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,75,69,75,88,102,109,104,158,146,141,134,170,198,182,155,152,150,150,140,137,128,78,85,84,69,62,101
Georgia,GEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6010,5114,305,48485,47159,35665,29873,21818,17490,16970,12488,6620,7289,6337,11805,12597,15015,10636,10115,9266,6787,6687,6505,6405,6535,6983,7519,7346,9754
Ghana,GHA,,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,310,1958,2202,3195,2699,3916,4769,4716,4690,4702,4776,4471,14284,13594,15100,14772,13625,13288,14760,14547,15675,15866,14759,18421,9949,5042,13225,14876,20175,20333,24269,21048,22116,22962,15527,16959,18071,18432,13844,14251
Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,,,,,,,,,,,,300,,,,300000,500000,3000,,,,,50,,70,,50,50,50,50,,,16,27,101,441,520,641,911,1148,1489,2009,3417,3868,4777,5816,6830,8269,9481,10912,11978,13164,14062,14559,15247,16995,17536,20333,23493,26857,26792,34403
"Gambia, The",GMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,16,25,27,24,156,308,421,574,678,751,732,858,744,684,1680,1249,1257,1336,1966,2233,2572,3063,3382,5122,8473,11589,14564,17237,17813,10579,11042
Guinea-Bissau,GNB,,,,6000,30000,50000,61050,59520,56740,67800,66660,80000,82000,84000,90000,46000,37000,5000,5000,5000,5000,4000,5000,5000,5010,5350,5355,5000,4999,5001,5001,5006,5006,5006,5011,830,854,865,8885,3187,880,917,978,969,1008,1042,1000,1018,1053,1100,1117,1118,1173,1222,1306,1472,1650,1870,2043,2093,1638,2039
