region,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Nepal,NPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,27,44,49,95,178,227,300,899,1232,1414,2061,2651,3364,4190,5101,5883,6845,7601,8098,8542,9051,8364,8415,8590,8034,7483,7029
Nauru,NRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,5,,,,,,,,,,,,,,,,,5,5
New Zealand,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,12,8,9,11,13,19,15,14,16,25,34,34,34,35,33
OECD members,OED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58105,52126,46950,85179,108856,101531,93159,80898,69611,62515,67920,77254,265274,261832,251819,270085,335784,796891,608490,556028,562294,557016,552131,485887,448470,423991,388455,274313,230885,297454,309934,248343
Oman,OMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,8,8,8,8,5,5,19,5,16,10,37,44,55,63,62,58,62,20,25,36,35,39,42,42,47,53
Other small states,OSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5666,14929,80801,91008,127848,125117,128176,120125,121820,277928,238239,189482,146153,109565,110651,112803,114043,116456,111765,97614,84757,68728,53707,40590,35037,33019,30896,30754,33354,33126,25268,27275
Pakistan,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,409,485,523,1088,1420,4431,5277,7499,5983,6860,8011,10134,12326,23164,24390,25943,29906,25636,31847,32391,35129,39979,35948,49778,48676,335947,297886,105419,128914,132248,136902,133280,132817
Panama,PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,365,629,640,652,677,486,158,146,123,86,73,70,36,44,29,38,41,72,105,106,102,94,98,107,99,83,62,33,36,44,45,70,118
Peru,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,255,473,727,1967,4333,5902,6695,6608,7065,7205,6948,6500,6431,5578,4767,4863,6977,7738,7329,6272,5834,5488,5207,4762,4333,3591,2599,2588,2579,2765,2834,3520
Philippines,PHL,,,,,,,,,,,,,,,,,,90000,92000,90000,90000,90000,90000,100000,100000,90000,90000,90000,90000,90000,11,15,45,111,435,515,599,526,45601,45516,45481,45469,45606,409,428,464,888,1550,1348,987,963,945,979,718,660,582,426,445,522,554,469,521
Palau,PLW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2006,806,216,6,6,6,12,12,12,20,27,33,44,68,87,126,172,219,285,335,401,406,424,475,510,507
Poland,POL,,,,,,,,,,,150,150,140,100,70,60,50,,50,,471,505,775,761,994,1655,1102,1475,23266,23072,25632,21643,14518,13385,35934,19731,12868,7292,1880,1238,859,3187,16713,15211,10683,19642,13508,2911,2385,2052,1758,1811,1638,1428,1306,1298,1159,1123,1085,961,910,887
Pre-demographic dividend,PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11492529,12098683,10560074,9755625,7708767,7087614,7162549,6757823,6591791,6850845,7801814,7717025,6328086,5654302,5795196,5327765,6406527,7952575,7196227,7107238,7318007,7239576,6646688,6456351,7232189,7744755,8419066,9817273,9918962,9984333,9924245,10456996
Puerto Rico,PRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. People's Rep.",PRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,5,10,15,17,256,306,344,287,394,602,881,878,915,1046,1126,1163,1275,1094,1419,1176,797,758,689,528
Portugal,PRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,23,218,213,21,16,24,14,60,54,43,74,25,29,35,30,29,29,32,27,30,28,20,16,20,25,27,26
Paraguay,PRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,8,10,15,64,51,45,19,16,20,20,6,26,34,34,42,103,99,97,77,86,91,101,91,87,88,68,77,73,84,119,125
West Bank and Gaza,PSE,,,,,,,,,,,,,,,,,3200,,,,,,9800,9110,,31640,52705,2005,5014,8041,8521,65177,95343,81472,82559,72762,80202,76812,77517,100602,110641,349158,428775,350562,349827,349663,334127,341231,340004,95185,93312,94141,94916,96035,97207,98013,97794,99630,100728,96253,100153,103581
Pacific island small states,PSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,89,156,261,349,370,340,372,450,778,1138,1185,1382,1434,1767,1907,1959,1989,1960,1686,1419,1211,1026,985,892,832,747,664,596,497
Post-demographic dividend,PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27353,29606,637717,834319,907037,1065067,1349272,1242360,1018132,999382,891388,794012,809308,665633,571237,356889,418171,231233,224178,194036,177309,170821,164336,104426,322776,395206,299832,198135,150936,117687,94138,87699
French Polynesia,PYF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,30,17,18,21,6,,,10,14,10,6,48,57,69,66,109,93,123,15,23,21,25,31,30,36,33,47
Romania,ROU,,,,,,,,,,,100,60,90,90,70,70,,,60,,772,854,1157,1211,962,2201,1024,1890,20247,45978,51282,27177,25118,23566,22273,16977,11872,8955,10924,8560,7348,6052,8842,8384,6043,11495,7224,5299,4747,4350,3926,3422,2802,2331,1917,1731,1195,1210,1155,1352,1343,1417
Russian Federation,RUS,,,,,120,,17970,,,,170,160,150,110,80,70,60,50,50,,10821,11562,11569,11574,11577,11582,10226,8683,33636,68496,117736,155576,213802,243312,251394,207027,173722,198055,172724,28319,40309,45154,91625,96414,108096,103037,159383,93218,103061,109452,111944,109783,110587,74310,70552,67008,62759,61584,61457,62353,52742,68547
Rwanda,RWA,,147000,147000,154000,166300,155900,159600,160230,160100,144930,142050,141630,153650,163595,178260,175720,176410,169780,175110,176540,286650,277010,327950,321760,357110,376520,371910,353440,327540,319500,361317,431239,434731,450459,2257570,1819367,469132,67996,77738,88934,119051,84508,75251,75258,63792,100252,92956,80955,72529,129108,115519,106832,97357,83943,79396,286357,286063,258986,247469,246407,245781,248219
South Asia,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6548525,6526696,4811740,3611811,3012788,2958738,2963681,2966979,2909056,2848512,3847588,4072751,2800274,2406909,2680194,2436365,2386422,3369109,3142062,3192058,3344515,2928092,2842239,2788669,3107703,3134442,2765647,2909950,2973842,3024300,2916419,3047495
Saudi Arabia,SAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,261,244,358,362,233,77,29,104,232,212,146,609,737,700,629,659,733,811,575,616,686,937,1219,1492,1721,2003,2167
Sudan,SDN,,,,13000,20300,81560,115000,120990,175500,170400,172960,171330,128450,13050,11770,11000,10600,10850,10850,10850,10850,5350,5350,31000,180060,180855,132759,253166,347309,438899,523996,196242,267767,393868,405129,445277,475302,364571,390001,485449,494351,489931,508863,606230,730631,693621,686296,523029,419249,368178,387265,500004,568934,648936,665956,627080,650391,694556,724787,734780,787823,825290
Senegal,SEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,15006,60006,25137,15463,22594,25619,17587,17630,17163,9712,11598,11077,8554,12069,8347,8325,8662,15150,15886,16007,16306,16255,17710,18717,19815,23110,21267,23054,26584,18208,17208,13986,15129
Singapore,SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,,,,,8,8,18,20,21,24,21,15,40,35,36,35,108,117,106,77,74,65,64,61,55,50,38,48,46,39,37,34
Solomon Islands,SLB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,34,34,34,34,34,42,55,61,61,27,37,47,51,65,75,72,60,60,70,71,71,57,33,34,37,38
Sierra Leone,SLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,142614,253591,311181,275298,379491,375100,329322,406070,490047,402798,179097,141473,70571,41797,40473,42849,32114,32517,15398,11261,7985,6191,5305,4988,4900,4678,4496,4846,5288,5734,6615
El Salvador,SLV,,,,,,,,,,,,,,,,,,,,,91630,304810,242400,244600,243000,180605,171785,167605,166393,39582,30019,33048,30854,26125,30736,23534,19639,17124,12591,12408,7753,7147,6630,5658,4497,4283,6390,6026,5154,5053,4978,6725,8173,9634,10968,14778,19617,25876,32562,41816,45640,52041
San Marino,SMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,,5,,,,,,,,,,,,,,,,,,,
Somalia,SOM,,,,,,,,,,,,,,,,110,50,60,90,90,134,34,118,39,639,1830,3142,60162,351993,360309,470174,732596,812196,574612,631420,638695,636984,608086,557953,524604,475644,440120,432304,402329,389287,395544,464026,457345,561145,678296,770141,1077038,1136709,1121760,1106430,1123144,1012320,986386,949637,901596,812356,776678
Serbia,SRB,,,,,,,,,,130,150,140,130,130,120,120,,,4200,,270,214,177,157,91,91,72,42,99,96,1745,45826,90081,58255,54975,86116,103963,106649,115289,172506,146749,144231,327582,296627,237015,189985,174022,165636,185930,195625,183284,161664,158903,48725,45730,38620,36928,33246,32368,31251,29976,31735
Sub-Saharan Africa (excluding high income),SSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5746892,5169260,5426023,6326045,6727751,5624366,4354536,3541330,3413916,3618100,3769011,3464525,3525094,3312233,3221577,3096054,3039507,2747758,2627727,2665787,2810062,3371529,3535014,3702363,4479198,5233426,6007856,7213999,7241625,7290851,7417822,7822151
South Sudan,SSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87007,114468,616206,778722,1436707,2439888,2285301,2234805,2188785,2362759
Sub-Saharan Africa,SSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5746950,5169327,5426075,6326072,6728304,5624705,4354674,3541362,3413954,3618130,3769036,3464539,3525137,3312270,3221624,3096093,3039568,2747812,2627778,2665834,2810109,3371568,3535044,3702387,4479221,5233445,6007866,7214009,7241640,7290866,7417832,7822165
Small states,SST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12291,20855,83365,91996,129035,126298,129396,121260,122788,278909,239219,190733,147807,111427,113023,115831,118090,121389,117023,103143,90574,74974,60264,47442,42262,40336,37445,37596,40457,39870,31556,33047
Sao Tome and Principe,STP,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,28,32,47,42,39,29,23,21,41,41,36,23,30,32,32,32,32,32,31,31,24,24,31,31,31,28,28,6
Suriname,SUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6601,6620,5921,2545,894,915,817,754,663,491,413,334,239,101,67,47,26,65,62,50,44,24,22,14,17,17,19,16,17,22,17,17,22
Slovak Republic,SVK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,24,57,69,143,178,216,189,596,668,618,787,741,346,333,336,157,271,231,321,316,325,792,913,1218,1343,1368,1426
Slovenia,SVN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28429,14829,12858,3369,3414,3299,3293,3278,762,853,608,580,154,1757,47,49,35,35,30,32,27,25,21,20,17,19,19,17,17
Sweden,SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,25,37,39,39,30,17,5,27,35,30,75,16,17,16,15,23,23,21,18,18,18,13,14,16,13,8,9
Eswatini,SWZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,15,16,17,29,27,16,15,20,,6,12,16,21,28,28,32,39,59,103,151,213,224,231,237,224,198,165
Sint Maarten (Dutch part),SXM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,SYC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,49,58,67,52,27,553,339,138,32,38,30,25,14,43,37,47,39,61,54,51,47,47,39,30,24,23,19,10,10,15,15,10,14
Syrian Arab Republic,SYR,,,,,,,,,1200,1200,,,,,,,,,,500,500,505,505,526,529,2599,534,20,881,397,2148,3037,4408,5412,7087,7995,8611,8653,8132,6693,5868,4861,18908,20816,21430,16395,12327,13684,15206,17915,18451,19931,729011,2468323,3887490,4873236,5524511,6310498,6654374,6615249,6702910,6848845
Turks and Caicos Islands,TCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,15,15,14,14,14,14,14,14,14
Chad,TCD,,,,,,,,,,,1900,1400,1500,1500,,,,,,10000,221000,234260,17010,16745,181346,212158,170078,146858,130790,125863,184804,72317,66378,212923,211968,59726,58443,55026,61294,58792,54955,46282,47340,52268,52645,48389,36286,55697,55083,54997,53713,42619,39674,48618,48236,14921,14176,16325,10895,11163,10388,11771
East Asia & Pacific (IDA & IBRD countries),TEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694674,712093,976752,1013117,930482,932852,891019,870773,839439,926512,849390,792335,784504,707521,710733,727469,804506,723958,740044,975707,986211,987811,988849,1029981,1042981,1016738,1064727,1734928,1727836,1642065,1631985,1703185
Europe & Central Asia (IDA & IBRD countries),TEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205647,262949,1522061,1739578,1849552,1876761,2416511,2290812,2038056,1872761,1497485,1396200,1813828,1619718,1453159,1180782,1153051,788682,808216,733517,703510,665883,648398,335903,543371,599922,501186,400446,361916,344746,406971,374737
Togo,TGO,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,17,105,291055,167866,93152,25587,7182,3500,3695,4022,4356,10441,10609,10818,51092,27318,22481,16734,18363,18308,17853,15683,10301,9271,8774,8296,8115,8029,8034,7704,7985
Thailand,THA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,29,33,33,135,209,282,268,290,315,213,90,342,295,320,424,3323,2322,1811,498,351,365,378,220,223,209,147,164,183,173,174,181
Tajikistan,TJK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60008,70108,57143,58960,107508,75880,56350,45166,59937,56107,63264,58935,56776,54753,646,887,541,556,573,604,669,657,722,790,932,1369,1695,1987,2219,2412
Turkmenistan,TKM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,45,2936,3179,1562,1051,299,305,797,836,815,818,689,667,735,734,723,711,708,502,470,446,371,365,457,478,498,563
Latin America & the Caribbean (IDA & IBRD countries),TLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157226,156992,151039,134118,144787,130829,124039,115643,102409,88267,63281,66170,76972,74966,80253,98594,130106,617315,438876,455147,463105,475911,483211,488713,454856,440858,414232,311092,284896,432300,528620,516939
Timor-Leste,TLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162472,122202,73042,28097,127,221,251,251,6,7,7,8,8,8,8,13,19,19,13,12,17,11,11
Middle East & North Africa (IDA & IBRD countries),TMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1219602,1465056,1488640,904090,934814,875195,862731,837200,798995,761758,649608,655487,633214,562900,493124,425952,1606435,2434311,2028766,1918654,1811850,1563387,1597034,2975830,4375712,5276211,5997426,6866656,7246723,7182022,7268711,7445168
Tonga,TON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,5,,7,11,5,,5,,5,5,5,7,11,16,19,22,25,34,32,32,31,28
South Asia (IDA & IBRD),TSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6548525,6526696,4811740,3611811,3012788,2958738,2963681,2966979,2909056,2848512,3847588,4072751,2800274,2406909,2680194,2436365,2386422,3369109,3142062,3192058,3344515,2928092,2842239,2788669,3107703,3134442,2765647,2909950,2973842,3024300,2916419,3047495
Sub-Saharan Africa (IDA & IBRD countries),TSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5746950,5169327,5426075,6326072,6728304,5624705,4354674,3541362,3413954,3618130,3769036,3464539,3525137,3312270,3221624,3096093,3039568,2747812,2627778,2665834,2810109,3371568,3535044,3702387,4479221,5233445,6007866,7214009,7241640,7290866,7417832,7822165
Trinidad and Tobago,TTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,17,20,25,24,24,16,35,39,38,61,151,210,228,239,252,296,335,336,371,369,295,310,323,307,295,285
Tunisia,TUN,,,,,,,,,,,,,,,,,,,,,,,,5,6,6,6,6,7,7,40,61,88,106,208,327,410,703,931,1236,1205,1364,2543,2562,2511,3120,2835,2488,2334,2237,2159,1930,1918,1359,1476,1554,1687,1826,1985,2068,1636,2201
Turkiye,TUR,,,,,,,,,,,,,250,,,,,70,60,60,,,300,540,1040,810,850,1085,150,2764,5508,6452,10089,16767,28872,44866,50355,47339,45019,44012,47154,47085,193697,185086,174572,170557,227236,221937,214365,146378,146785,139763,135353,66558,63882,59545,57915,61383,68900,83239,93730,105019
Tuvalu,TUV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,,5,,,,,,,,,,,,,,,
Tanzania,TZA,,,,,,,,,,,,,,,320,,90,300,300,600,300,3000,500,500,500,,,2000,5,10,10,13,19,32,62,69,66,59,100,117,310,369,578,703,982,1542,1665,1250,1262,1191,1135,1154,1109,1033,843,810,579,655,723,695,689,752
Uganda,UGA,,,,,,,,,,,,,,950,2630,2510,3250,8000,8820,88710,224301,176691,271285,315346,293991,306060,238652,111071,21975,21358,58820,39386,32456,33406,31446,24161,28335,55232,13294,13929,32405,40133,40414,35240,31955,34208,21735,21325,7533,7543,6421,5658,5588,8166,7177,6311,6229,6409,7034,7301,7442,7886
Ukraine,UKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,133,917,1702,6106,6348,4599,12235,19310,26712,85258,94141,89582,84223,63716,25980,28416,24512,25102,25372,25248,5154,237617,321399,239062,139581,93248,59844,35156,27562
Upper middle income,UMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1349187,1628033,2770031,2450449,2576023,2437334,2780936,2647579,2425450,2227129,1773270,1727178,1989501,1780587,1594575,1367795,2693395,3700647,3163355,3013368,2900090,2615994,1921393,1307701,1243789,1104164,1114665,1049257,1026825,1066661,1120466,1041491
Uruguay,URY,,,,,,,,,,,,,,,3000,570,1160,,,,24,24,525,25,165,537,47,39,33,203,843,601,431,164,363,263,202,87,72,36,48,45,60,59,76,107,158,193,194,183,185,183,168,144,119,84,23,12,7,15,15,45
United States,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,10,364,243,141,75,50,38,173,220,383,394,451,676,1353,2164,2126,2367,3019,3775,4454,4755,4980,4824,302,310,332,297,349,426
Uzbekistan,UZB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29060,142,69745,69068,51722,45527,3628,3454,6882,7394,7292,8322,9095,5658,6297,6662,8841,12667,11593,4953,4790,4197,3824,3405,3276,3217,3112,3014
St. Vincent and the Grenadines,VCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,13,13,24,36,48,67,81,105,181,279,386,644,748,847,946,1126,1315,1535,1736,1823,1335,1311,1258,979,742,467
"Venezuela, RB",VEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,135,370,478,558,606,568,554,469,464,525,598,1251,2581,3821,5089,5801,6216,6697,7575,8204,8396,8009,7455,7543,9272,21047,93239,171112,199202
British Virgin Islands,VGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),VIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,VNM,,,,,10000,15000,17000,20000,22000,22000,20000,,,,,2110,4000,14380,124210,397290,346928,312548,325343,328399,328095,326617,326668,325717,440379,456936,496029,498323,517111,527625,539095,543536,518335,476795,435437,405378,370753,353211,373732,363170,349793,358268,374278,327770,328175,339299,338707,337828,336936,314109,313420,313152,329341,334064,334464,316441,316728,317737
Vanuatu,VUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,WLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19850545,19429141,20545162,19238525,18846657,18141960,16725191,15484076,15053820,15364642,15935134,16043088,14619220,13728696,13805229,13011239,14325308,15952902,15160726,15162383,15239914,15201660,15416934,16728282,19534031,21351533,22524729,25383513,25905093,26044498,26365367,27119816
Samoa,WSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,5
Kosovo,XKX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",YEM,,,,,,,,,,,,,,,,,,,15000,15000,15000,,,,,,100000,70000,77000,77000,5,74,31,37,151,366,1154,1721,1928,2021,2104,1976,1595,1588,1599,1322,1364,1621,1764,1927,2070,2321,2582,2413,2623,15901,18427,23555,31145,36522,32433,37611
South Africa,ZAF,,,,,,,390,450,740,290,460,850,790,940,1380,1360,2180,2395,3840,7280,24250,24900,28430,34520,38560,38110,33220,26150,24906,17135,14781,11205,9241,9087,1514,492,286,241,184,190,168,131,271,284,261,259,501,474,449,380,374,422,413,424,422,447,452,461,482,441,474,643
Zambia,ZMB,,,,,,,,,15000,13000,9000,750,750,750,4000,750,750,,,1000,1210,1200,1200,1200,,,,,,,,,1990,1573,15,22,39,62,75,86,91,55,84,95,119,146,199,192,191,201,221,234,240,230,309,334,256,260,266,259,252,255
Zimbabwe,ZWE,,,,,,,,,,,,,,,,14720,31220,76520,163160,197640,160,190,,3200,3760,4250,3230,3830,629,5,5,128,8,14,38,37,36,37,40,40,109,257,4024,7154,9557,11246,12774,14366,16824,22441,24080,25033,22082,19719,22478,21332,18141,17420,15618,10045,8575,8115
