qn1d,qn1f,qn1c,qn1h,qn2b,qn4b,qn4c,qn4e,qn1jyear,ui_lpr,ui_work
18,1,4,18,2,2,1,1,2015,1,1
21,2,4,18,2,2,1,1,2015,1,1
19,2,4,18,2,2,1,1,2015,1,1
45,1,1,18,6,3,1,1,2015,1,1
26,2,4,26,6,3,1,2,2017,1,1
24,2,4,26,6,3,1,2,2017,1,1
34,1,1,18,1,4,1,1,2016,1,2
31,2,1,18,2,4,1,1,2016,1,3
40,2,1,96,1,3,1,1,2017,2,1
36,2,1,10,5,2,1,1,2016,1,2
26,1,4,6,2,3,2,1,2015,1,1
33,1,1,97,5,1,1,1,2017,1,1
32,2,7,22,6,1,1,1,2017,1,2
41,1,1,18,5,3,1,1,2017,1,1
36,2,1,18,5,3,1,1,2017,1,3
48,2,1,22,7,3,2,1,2017,1,1
25,2,4,22,6,2,2,2,2017,1,1
51,1,1,22,6,3,2,2,2017,1,1
26,1,4,3,5,2,1,1,2015,1,1
51,2,1,3,5,4,1,1,2015,1,3
22,2,4,3,2,2,2,2,2015,1,2
40,1,1,18,5,3,1,1,2016,1,1
30,2,1,18,5,3,1,1,2016,1,3
20,2,4,97,1,1,1,6,2016,1,1
22,2,4,97,1,4,1,2,2016,1,3
45,2,1,97,1,3,1,2,2016,1,1
21,2,4,97,1,3,1,2,2016,1,3
18,2,4,97,1,1,1,6,2016,1,1
31,1,1,97,1,2,2,1,2015,1,1
55,1,1,6,2,3,2,2,2018,1,1
35,1,1,3,1,3,1,1,2017,2,1
51,2,1,5,6,3,1,2,2014,1,1
22,1,4,5,5,1,2,2,2014,1,1
58,1,1,5,4,3,1,1,2014,1,1
50,2,1,10,2,3,1,1,2014,1,1
27,1,4,10,1,4,1,1,2014,1,3
50,1,1,10,5,2,1,1,2014,1,3
66,1,1,22,5,3,1,2,2017,2,3
34,2,7,22,7,3,1,2,2018,3,1
34,2,1,22,5,3,1,2,2017,2,2
30,2,4,10,2,2,1,1,2016,1,3
24,2,4,10,5,1,1,2,2016,1,2
22,1,4,10,2,1,2,1,2016,1,2
20,2,4,10,2,1,1,2,2016,1,2
43,2,5,10,5,3,1,1,2016,1,3
47,2,3,24,7,2,2,1,2014,1,1
59,2,1,18,5,3,1,1,2018,1,1
60,1,1,18,5,3,1,1,2018,1,3
33,1,1,6,5,3,1,1,2014,1,1
37,1,4,97,1,3,1,1,2017,1,2
32,1,1,6,5,3,2,2,2018,1,1
51,2,1,10,6,2,1,2,2016,1,1
26,2,4,10,5,2,1,2,2015,1,3
61,1,1,10,5,2,1,2,2015,1,3
49,2,1,6,5,2,1,2,2018,1,1
26,1,4,6,1,3,1,2,2018,1,1
21,1,4,6,1,1,2,2,2018,1,3
21,1,4,6,1,2,2,2,2018,1,3
38,2,1,97,6,1,2,1,2015,1,2
29,1,1,22,5,2,2,2,2017,2,1
23,2,7,22,4,2,2,2,2017,2,3
23,1,4,96,2,2,2,1,2018,2,1
59,2,1,96,1,4,1,1,2018,1,3
26,2,1,96,2,3,1,1,2016,1,1
60,1,1,96,1,4,1,1,2018,1,3
23,2,4,26,5,2,1,2,2018,1,1
45,2,2,97,5,3,1,1,2017,1,1
21,2,4,97,4,2,2,1,2017,1,1
26,1,4,97,5,3,2,1,2017,1,1
35,2,1,97,5,2,2,2,2018,1,3
36,1,1,97,6,2,2,1,2018,1,1
29,2,1,97,6,3,1,1,2018,1,3
29,1,1,97,5,3,1,1,2018,1,1
42,2,2,22,4,3,1,2,2015,2,3
56,2,1,10,6,1,1,1,2014,1,3
59,1,1,10,6,2,1,1,2014,1,1
36,1,1,3,1,4,1,2,2018,1,1
26,2,1,3,1,4,1,2,2018,1,3
60,2,1,5,2,4,1,2,2014,1,1
67,1,1,5,4,3,1,2,2014,1,2
32,2,2,6,1,3,1,2,2016,2,1
30,1,1,96,5,1,1,1,2017,1,1
28,2,1,96,5,1,1,1,2017,1,3
38,2,1,10,4,2,1,1,2014,1,3
42,1,1,10,2,2,1,1,2014,1,1
33,1,4,97,6,2,2,1,2017,1,1
17,2,5,96,2,1,2,2,2017,2,3
24,1,5,96,2,2,2,1,2016,1,1
26,2,1,96,2,3,1,1,2017,1,2
33,1,1,96,2,2,2,1,2017,1,1
51,2,1,96,1,4,1,1,2017,1,3
46,2,5,18,2,2,1,1,2016,2,3
43,2,3,10,4,3,1,1,2014,1,2
61,1,1,24,5,2,2,1,2015,2,2
57,2,1,24,5,2,2,1,2015,2,3
32,1,4,26,4,2,1,1,2017,1,1
37,2,7,26,5,3,1,1,2017,1,1
27,1,1,10,2,3,1,1,2014,1,1
20,2,4,6,1,3,1,2,2018,1,2
34,1,4,6,6,3,2,1,2018,1,1
34,1,1,97,5,3,1,1,2016,2,2
50,1,1,24,6,3,2,1,2016,1,1
20,1,4,5,5,2,1,2,2014,1,1
42,2,1,5,5,4,1,1,2014,1,1
45,1,1,5,4,4,1,1,2014,1,1
30,1,1,97,5,4,1,1,2017,1,1
30,2,1,97,1,4,1,1,2015,1,3
35,1,1,97,1,4,1,1,2015,1,1
28,2,4,97,5,2,2,1,2015,1,2
29,2,1,97,1,3,1,2,2018,2,3
45,2,1,96,2,3,1,1,2014,1,2
18,2,4,96,4,1,2,6,2014,1,1
48,1,1,96,4,3,1,1,2014,1,1
30,1,4,9,6,2,2,1,2017,2,1
65,2,5,18,1,4,1,1,2016,1,3
33,2,1,18,2,3,1,1,2016,1,3
16,1,4,18,1,2,1,1,2015,1,3
39,1,1,18,1,3,1,2,2016,1,1
30,1,1,96,1,3,2,1,2015,1,1
44,1,1,10,6,1,1,1,2014,1,1
29,2,1,10,6,1,1,1,2014,1,2
75,2,5,10,5,1,1,1,2014,1,3
20,1,4,26,2,4,1,2,2017,1,1
63,2,1,97,6,2,2,1,2018,1,3
58,1,1,10,6,1,1,1,2014,1,2
19,1,4,10,2,1,1,1,2014,1,5.712727273
24,1,4,10,2,1,1,1,2014,1,1
20,1,4,10,2,1,1,1,2014,1,3
47,2,1,10,6,2,1,1,2014,1,3
35,1,1,96,1,4,1,1,2015,1,1
49,1,1,96,1,3,1,1,2015,3,1
25,2,1,10,5,1,2,2,2016,1,3
62,2,1,10,1,3,1,1,2014,1,3
70,1,1,10,2,3,1,1,2014,1,3
31,1,1,10,6,2,1,1,2015,1,1
30,2,1,10,5,2,1,1,2015,1,2
40,1,1,97,5,4,1,1,2016,1,1
36,2,1,97,5,4,1,1,2016,1,1
19,1,4,97,2,3,1,2,2016,1,1
33,2,1,10,2,2,1,1,2014,1,2
36,1,1,10,4,2,1,1,2014,1,1
28,1,1,6,5,3,2,1,2018,1,2
38,2,1,18,2,4,1,2,2016,1,3
43,1,1,18,2,3,1,1,2016,1,2
69,2,5,97,6,4,2,1,2016,1,3
34,2,1,6,7,2,2,2,2018,1,1
31,2,4,96,5,2,2,1,2014,1,1
21,2,4,96,5,2,2,2,2017,2,1
33,1,4,10,5,1,1,1,2015,1,3
18,1,4,10,2,1,1,1,2015,1,1
20,1,4,10,2,1,1,1,2015,1,2
58,2,1,10,6,2,1,1,2015,1,1
60,1,1,10,7,1,1,1,2015,1,1
32,1,1,1,2,3,1,1,2017,2,1
30,2,1,1,2,3,1,2,2017,2,3
40,1,1,10,6,2,2,1,2015,1,1
39,2,1,97,5,2,1,1,2015,1,3
41,1,1,10,5,1,1,1,2015,1,1
41,2,1,10,5,2,1,1,2015,1,3
33,1,7,97,5,1,2,1,2014,1,1
65,1,4,96,1,4,1,1,2016,1,3
17,2,4,96,2,1,2,6,2016,1,3
42,2,1,97,1,3,1,1,2016,1,1
53,1,1,96,1,3,1,1,2016,1,1
32,2,1,9,5,2,2,1,2016,2,2
24,1,4,10,2,1,1,2,2016,1,1
45,2,1,10,2,2,1,2,2016,1,2
19,2,4,10,2,1,1,1,2016,1,2
16,1,4,97,2,2,1,2,2014,2,3
35,2,4,97,2,3,1,1,2014,2,1
43,2,1,97,1,3,1,1,2017,1,1
40,1,1,96,1,3,1,1,2017,1,1
37,1,4,97,5,2,2,1,2016,1,1
38,2,5,10,2,4,1,2,2015,1,3
21,1,4,10,2,1,1,1,2015,1,1
19,2,4,10,2,1,1,1,2015,1,3
29,1,4,10,5,1,1,1,2014,1,1
31,1,4,6,5,3,1,1,2014,1,1
37,2,1,24,1,2,1,2,2014,1,1
35,2,1,24,1,2,1,2,2014,1,2
59,1,1,96,1,4,1,1,2014,1,2
21,1,4,96,2,2,2,1,2014,1,1
56,2,1,96,1,4,1,1,2014,1,3
33,1,1,96,4,2,2,1,2014,1,1
61,1,1,18,1,2,2,1,2018,1,1
60,2,5,3,1,3,2,1,2016,1,2
31,1,4,10,5,2,2,1,2016,3,1
39,2,7,22,6,2,1,2,2018,1,1
22,1,4,26,5,2,2,2,2018,1,1
52,1,4,10,2,4,2,1,2014,1,3
66,1,1,97,6,1,1,1,2016,1,3
41,2,3,6,5,1,2,2,2017,1,2
28,1,4,22,5,3,2,2,2017,2,1
27,2,4,3,5,1,2,2,2015,2,2
16,2,4,18,2,2,1,2,2015,1,3
20,1,4,18,5,1,1,2,2015,1,3
45,2,1,18,5,2,1,2,2015,1,3
49,1,1,18,5,2,1,2,2015,1,1
41,2,1,18,5,3,1,2,2016,1,3
50,1,1,18,2,3,1,2,2016,1,1
23,1,4,18,2,2,1,1,2016,1,1
52,1,1,10,5,2,1,1,2015,1,3
24,1,4,10,2,2,1,1,2016,1,1
49,2,5,10,2,3,1,1,2016,1,3
51,1,1,97,6,2,2,1,2015,2,1
20,1,4,97,5,3,1,2,2018,1,1
35,1,4,1,1,2,1,1,2014,1,3
40,2,1,18,2,3,1,1,2016,1,3
43,1,1,18,5,2,2,2,2016,1,1
16,1,4,18,1,2,1,2,2016,1,3
22,1,4,6,5,2,2,1,2018,1,1
24,1,4,26,6,3,2,1,2017,1,1
40,2,2,97,2,4,1,2,2016,1,1
18,2,4,97,2,3,1,1,2015,1,3
35,1,7,22,5,3,1,2,2017,2,1
55,2,4,10,2,3,2,2,2014,1,3
35,2,1,10,6,1,1,1,2014,1,1
41,1,1,10,6,1,1,1,2014,1,1
41,1,7,97,1,3,1,2,2014,1,1
67,1,1,9,6,3,1,1,2018,1,3
36,1,1,1,2,3,1,1,2015,2,1
25,1,4,1,1,2,1,1,2015,1,1
21,1,4,26,2,3,1,1,2016,1,2
29,2,4,10,6,3,1,1,2014,1,1
21,2,4,26,5,3,2,2,2017,1,1
26,2,1,18,2,3,1,1,2017,1,3
40,1,1,18,2,3,1,2,2017,1,1
29,1,1,96,5,2,2,2,2016,1,1
48,2,1,97,6,1,2,1,2017,1,1
17,1,4,97,5,1,2,1,2017,1,1
24,2,4,97,6,1,2,1,2017,1,1
72,2,5,97,6,3,2,1,2017,1,3
51,1,1,97,6,2,2,2,2017,1,1
40,1,1,96,1,3,1,1,2017,1,1
63,2,1,10,6,2,1,2,2015,1,3
69,1,1,10,6,1,1,1,2015,1,3
50,2,1,6,1,4,2,1,2017,2,1
51,1,1,6,2,4,2,1,2017,2,1
39,1,4,97,6,2,2,1,2017,1,1
34,2,1,10,6,1,1,1,2016,1,1
36,1,1,10,6,1,1,1,2016,1,1
35,1,4,3,5,3,2,2,2018,1,1
35,1,2,97,5,2,2,1,2015,2,1
28,2,1,97,7,3,1,2,2017,1,3
31,1,1,97,6,3,2,2,2017,1,2
46,1,1,3,5,3,1,1,2016,1,1
36,2,1,3,2,3,1,1,2016,1,1
24,2,4,3,5,2,2,1,2017,1,1
24,1,4,6,5,2,1,6,2018,1,1
31,2,1,96,2,3,1,1,2014,1,2
40,1,1,96,2,2,2,1,2014,1,1
75,2,5,18,1,4,1,1,2016,1,3
27,1,1,18,2,3,1,2,2016,1,1
24,1,4,6,5,2,1,2,2016,1,1
25,1,4,6,5,3,1,2,2018,1,1
48,1,2,96,5,2,2,1,2015,1,1
24,2,1,97,2,1,1,2,2016,1,1
43,1,1,97,6,1,2,2,2016,1,3
24,1,7,97,6,1,2,1,2016,2,1
36,2,1,96,5,2,2,1,2017,1,1
61,1,1,22,4,4,1,1,2015,1,3
48,2,1,97,4,3,1,2,2015,1,1
22,1,4,26,5,1,2,2,2017,1,1
44,2,1,26,2,4,1,2,2017,1,1
30,1,1,6,5,2,1,1,2016,2,1
23,2,4,26,5,1,2,2,2018,1,1
59,2,1,26,5,2,1,1,2018,1,1
28,1,4,6,6,3,2,2,2018,1,1
40,2,3,10,2,1,1,1,2016,1,1
35,1,1,96,5,3,2,1,2018,1,1
32,1,4,6,6,2,2,2,2017,1,1
70,2,1,3,2,4,1,1,2018,1,3
24,1,1,3,5,2,2,1,2018,1,1
30,1,4,5,4,3,1,1,2014,2,1
23,1,4,6,5,3,1,1,2016,1,1
25,2,1,97,5,3,1,2,2016,2,1
49,2,1,5,5,3,2,1,2014,2,1
23,1,4,5,5,1,2,2,2014,2,1
30,1,4,5,6,1,2,1,2014,2,1
52,1,1,5,5,3,1,1,2014,2,1
47,2,1,6,2,3,2,2,2016,1,1
57,1,1,6,6,3,2,1,2016,1,1
27,1,1,6,5,2,1,2,2016,1,1
29,1,4,6,5,2,1,1,2016,1,1
33,2,1,97,1,3,1,1,2015,1,1
46,1,1,96,5,2,2,1,2015,1,1
36,2,1,97,7,2,2,1,2016,1,1
35,1,1,18,1,3,1,2,2016,1,1
46,2,4,97,4,3,2,1,2018,1,2
40,1,1,97,2,3,1,1,2018,1,1
60,1,1,97,1,4,1,1,2015,2,1
24,1,4,96,2,1,2,1,2016,1,1
60,1,5,6,1,3,1,2,2017,1,1
32,1,1,96,2,2,1,1,2018,1,1
19,1,4,96,1,2,2,2,2018,1,1
32,2,1,96,1,3,1,2,2018,1,3
39,1,1,3,1,3,2,2,2017,1,1
35,2,1,97,1,3,2,2,2017,1,3
64,1,1,10,2,3,1,1,2014,1,3
32,2,1,10,2,2,2,1,2014,1,1
59,2,1,10,2,4,1,1,2014,1,3
19,1,4,97,5,3,2,2,2018,1,1
21,1,1,22,5,2,2,2,2017,3,1
51,2,2,22,7,2,2,2,2017,3,1
47,1,1,18,1,3,1,2,2016,1,1
41,2,1,18,2,2,1,2,2016,1,3
39,1,4,10,6,2,1,1,2014,1,1
34,1,7,6,5,3,1,1,2016,1,1
22,1,4,26,1,4,1,1,2018,1,3
48,2,1,26,1,4,1,1,2018,1,3
20,2,4,26,2,3,2,2,2018,1,1
24,2,4,26,6,3,2,2,2018,1,1
42,1,1,6,5,1,1,1,2018,1,1
35,2,1,6,5,3,1,1,2018,1,1
62,1,1,96,1,3,1,1,2016,1,1
55,2,1,96,1,3,1,1,2016,1,3
24,1,1,96,5,3,2,1,2016,1,1
24,1,1,18,5,1,1,1,2016,1,2
18,2,1,18,5,1,1,1,2016,1,3
40,2,1,5,4,3,1,1,2015,1,1
56,1,1,5,4,3,1,1,2015,1,1
16,2,4,5,2,2,1,2,2015,1,3
45,2,1,10,5,2,1,2,2016,1,3
18,1,4,10,2,1,1,6,2016,1,1
45,1,1,10,6,2,1,1,2016,1,2
30,1,4,10,2,2,1,1,2014,1,1
68,2,5,6,1,3,1,1,2017,1,3
23,2,4,6,2,3,1,1,2017,1,2
33,2,1,18,2,3,1,1,2017,1,1
41,1,1,18,1,3,1,2,2017,1,3
21,2,4,97,5,3,1,1,2018,1,1
43,2,1,18,2,3,1,2,2016,1,3
21,1,4,18,2,1,1,2,2016,1,2
17,2,4,18,2,1,2,2,2016,1,3
47,1,1,18,2,2,1,2,2016,1,1
30,2,1,18,1,3,1,1,2015,1,3
37,1,1,18,1,3,2,2,2015,1,1
64,2,1,5,4,3,1,1,2014,2,1
71,1,1,5,4,3,1,1,2014,2,1
39,2,1,24,1,2,1,1,2014,1,1
58,1,1,24,1,2,1,1,2014,1,1
30,2,1,97,5,3,1,1,2017,1,3
35,1,1,96,5,2,2,1,2017,1,1
40,1,1,18,1,2,1,2,2016,1,1
32,2,1,18,1,2,1,2,2016,1,3
57,2,1,6,1,3,1,1,2016,1,1
72,1,1,96,1,4,1,1,2014,1,3
37,1,1,96,6,1,2,1,2014,1,1
67,2,1,96,1,4,1,1,2014,1,3
32,2,1,96,5,3,2,1,2014,1,1
31,1,1,1,5,1,2,1,2016,2,1
34,2,1,1,5,2,1,2,2016,2,2
31,2,1,96,1,3,1,1,2017,1,1
32,1,1,96,1,3,1,1,2017,1,1
33,2,1,10,5,2,1,2,2014,1,3
43,1,1,10,4,2,1,2,2015,1,1
28,1,1,22,6,1,2,1,2015,1,1
52,1,1,6,6,3,2,2,2018,1,1
18,1,4,97,1,1,2,6,2015,2,3
20,2,4,97,2,1,2,2,2015,2,2
58,1,1,97,1,3,1,2,2015,2,1
31,2,4,3,3,2,2,2,2018,2,1
28,1,4,10,6,1,1,1,2014,1,1
58,2,1,10,4,2,1,1,2014,1,3
59,1,1,10,4,2,1,2,2014,1,3
44,2,1,97,3,2,1,1,2015,2,2
20,1,7,97,3,1,2,2,2015,2,1
33,2,1,96,5,2,2,1,2015,1,1
36,1,1,96,6,1,2,1,2015,1,1
47,2,7,22,5,3,2,1,2015,2,1
17,2,4,22,2,1,1,1,2015,2,3
48,1,1,22,5,2,2,1,2015,2,1
75,2,5,10,1,4,1,1,2015,1,3
46,2,2,96,2,3,2,1,2017,1,1
61,2,1,97,1,4,1,1,2016,1,3
61,1,1,97,1,4,1,2,2016,2,1
20,1,7,97,1,4,2,2,2014,2,3
35,2,1,96,2,1,2,1,2018,1,2
49,1,1,96,5,1,2,1,2015,1,1
25,2,1,10,6,2,1,2,2015,1,1
29,1,1,10,6,1,1,1,2015,1,1
65,1,1,22,4,3,1,1,2015,2,3
54,2,1,22,4,3,1,1,2015,2,3
28,1,1,1,2,1,2,1,2018,2,1
52,2,5,1,1,4,1,2,2018,2,3
26,2,4,97,5,2,1,1,2018,2,1
30,1,4,1,1,2,1,1,2018,2,1
43,1,5,6,2,3,1,2,2017,1,3
40,1,1,96,1,4,1,2,2017,1,3
39,2,1,96,1,4,1,1,2017,1,1
59,2,1,9,1,3,1,2,2016,1,3
69,1,1,9,1,3,1,1,2016,1,3
18,2,4,10,2,1,1,1,2015,1,1
48,1,1,10,2,4,1,1,2015,1,3
48,2,1,10,5,2,2,2,2015,1,1
29,2,1,18,2,3,1,2,2016,1,1
27,1,1,18,2,4,1,1,2016,1,1
57,2,1,96,1,4,1,1,2017,1,3
67,1,1,96,1,3,2,2,2017,1,3
31,1,4,24,6,2,2,2,2016,2,2
39,2,1,22,2,3,2,1,2017,2,3
33,2,3,5,6,3,1,1,2014,2,2
23,2,4,97,5,3,1,1,2017,1,2
39,1,4,10,6,1,1,1,2016,1,1
31,1,4,6,1,4,1,1,2018,1,3
43,2,5,6,2,3,1,2,2018,1,3
32,2,4,6,1,2,1,2,2018,1,1
30,2,7,97,5,3,1,1,2018,1,1
37,1,1,97,2,4,1,1,2018,1,1
24,2,4,26,6,3,1,2,2018,1,1
26,2,4,26,6,3,1,2,2018,1,1
16,2,4,96,5,2,2,1,2014,1,3
19,1,4,96,5,2,2,1,2014,1,3
37,2,1,18,5,1,2,2,2016,1,1
16,2,4,18,1,1,1,2,2016,1,3
43,1,1,18,2,2,1,1,2016,1,1
34,2,4,22,6,3,2,1,2016,1,1
71,1,1,22,4,2,1,1,2016,1,1
71,2,1,22,4,3,1,1,2016,1,3
75,2,5,22,5,4,1,1,2016,1,3
47,2,1,22,4,1,1,2,2016,1,1
57,2,1,97,6,3,1,1,2015,2,3
57,1,1,97,5,3,1,1,2015,2,1
37,2,5,97,1,4,1,2,2016,1,2
25,1,2,97,1,3,2,1,2016,1,1
29,1,4,97,1,3,2,1,2016,1,2
20,1,4,18,1,2,1,2,2016,1,3
53,1,1,18,1,4,1,1,2016,1,1
49,2,1,18,2,3,1,1,2016,1,2
16,2,4,18,1,2,1,2,2016,1,3
39,2,1,18,1,3,1,2,2017,1,3
39,1,1,18,1,3,1,1,2017,1,2
22,2,1,6,5,3,1,1,2018,1,1
27,2,1,6,2,4,1,1,2016,1,2
60,2,5,6,1,4,1,1,2018,1,3
68,1,1,9,6,4,1,2,2014,1,3
30,1,1,97,5,2,1,2,2018,1,1
23,1,4,10,5,2,1,1,2016,1,2
35,2,1,97,2,3,1,1,2015,1,1
18,1,4,97,5,2,1,1,2015,1,1
33,1,1,10,5,1,2,1,2014,1,1
31,2,1,10,6,1,2,1,2014,1,2
35,2,1,3,1,4,1,2,2018,2,3
32,1,1,10,6,1,1,1,2014,1,1
25,2,1,10,5,3,1,2,2014,1,3
30,1,4,6,5,4,1,1,2017,1,1
50,1,1,97,1,3,1,1,2016,1,1
45,1,1,18,2,3,1,2,2016,1,2
17,1,4,18,2,3,2,2,2016,1,3
18,2,4,18,2,2,1,2,2016,1,3
43,2,1,18,2,4,1,2,2016,1,1
16,1,4,18,2,2,1,2,2016,1,3
48,1,1,97,5,3,1,2,2018,1,1
39,2,1,97,6,3,2,2,2018,1,2
31,2,1,96,5,2,2,1,2017,1,1
34,2,3,96,2,2,2,2,2017,1,1
24,1,4,6,4,3,2,2,2016,1,1
75,2,4,97,1,4,2,1,2017,1,3
36,2,1,9,5,2,2,2,2017,1,2
27,1,1,97,2,2,1,2,2016,2,1
31,1,1,96,2,2,2,2,2017,1,1
29,1,7,22,5,3,1,1,2017,2,1
23,2,1,22,5,3,1,2,2017,2,3
23,2,1,96,1,3,2,1,2016,1,1
28,1,1,96,1,3,1,1,2016,1,1
55,1,1,24,1,4,1,1,2015,2,1
18,2,4,24,1,4,1,1,2015,2,3
41,1,4,10,5,2,1,1,2014,1,1
71,1,1,5,5,3,2,2,2014,1,3
53,2,1,5,1,4,1,1,2014,1,3
65,2,2,26,1,4,1,1,2017,1,3
23,2,4,26,5,3,1,2,2017,1,1
57,1,1,18,5,2,1,1,2015,1,1
49,2,1,18,5,2,1,2,2015,1,1
32,1,1,24,2,3,2,1,2014,1,1
28,2,1,10,5,1,1,1,2015,1,1
36,1,1,10,5,1,1,1,2015,1,1
41,1,1,96,1,3,1,1,2014,1,2
36,2,1,6,2,3,1,1,2014,1,1
33,2,1,22,7,3,1,2,2018,1,3
34,2,7,22,4,3,1,2,2018,1,1
28,2,1,3,5,3,1,1,2016,1,2
30,2,2,3,3,3,1,1,2018,2,1
32,2,3,3,2,3,1,1,2015,1,1
47,2,1,22,5,3,1,1,2018,2,1
48,1,1,22,5,3,1,1,2018,2,1
74,2,5,22,6,3,1,2,2018,2,3
44,1,1,97,2,4,1,1,2015,1,2
35,2,1,97,6,3,1,2,2018,1,2
52,2,1,10,5,2,2,2,2015,1,1
18,1,4,10,2,1,2,1,2015,1,3
46,1,1,6,1,3,1,1,2014,2,1
35,2,1,18,2,3,1,1,2016,1,3
40,1,1,18,2,3,1,1,2016,1,2
17,1,4,96,2,2,2,1,2017,1,3
38,2,2,96,5,2,2,1,2017,1,1
65,1,1,10,6,1,1,2,2017,1,3
44,2,1,10,5,2,1,2,2017,1,3
19,2,4,26,5,3,1,2,2017,1,1
21,2,4,26,5,4,2,2,2017,1,2
40,2,1,26,5,4,1,1,2017,1,2
25,1,1,24,1,3,1,1,2014,1,1
30,1,1,3,3,2,1,1,2014,2,1
30,2,1,3,3,2,2,2,2018,2,3
38,2,4,6,1,3,1,2,2018,2,2
48,1,1,6,5,2,2,2,2016,2,1
39,2,1,6,1,3,1,1,2018,2,2
47,1,1,6,2,3,1,1,2018,2,1
24,2,4,26,5,2,1,2,2017,1,1
53,1,1,3,1,3,1,1,2016,2,1
31,1,4,6,5,2,1,1,2015,1,1
34,1,1,18,1,3,1,1,2016,1,2
24,2,1,18,2,2,1,1,2016,1,1
24,2,4,97,5,1,2,2,2016,2,1
28,2,1,9,5,2,1,1,2016,2,1
28,1,1,9,5,2,1,1,2016,2,1
62,2,1,96,1,4,1,1,2017,1,3
67,1,1,96,2,4,1,1,2017,1,3
36,2,2,96,5,2,2,1,2017,1,1
49,2,1,5,5,4,2,1,2017,1,2
46,1,1,5,4,4,2,2,2017,1,3
44,2,1,18,2,4,1,2,2016,1,3
67,1,1,18,5,2,2,1,2016,1,3
36,1,1,18,1,4,2,1,2016,1,2
30,1,1,10,5,2,1,1,2015,1,1
32,2,1,10,2,3,1,2,2015,1,3
40,1,1,97,1,4,1,1,2014,1,1
52,1,1,18,2,3,1,2,2017,1,1
35,2,1,18,5,2,1,1,2017,1,1
43,1,1,96,1,2,2,1,2014,1,1
29,1,1,97,1,3,2,2,2016,1,1
24,1,4,6,5,3,1,2,2017,1,1
26,1,1,96,2,2,2,1,2014,2,1
52,2,1,97,1,4,1,1,2014,2,3
54,1,1,96,1,4,1,1,2014,1,2
34,1,4,10,5,2,2,2,2014,1,1
30,2,4,6,1,3,1,2,2014,2,1
28,2,1,22,6,1,2,1,2018,1,3
49,1,7,22,6,2,2,1,2018,1,2
54,2,3,96,5,3,2,2,2018,1,1
32,2,1,18,1,4,1,1,2016,1,3
